,Brightness,Canny Edges,Dotted Line,Fog,Glass Blur,Identity,Impulse Noise,Motion Blur,Rotate,Avg
Cutout-14-2 BasicNet,0.543666660785675,0.8496666550636292,0.956166684627533,0.5584999918937683,0.9311666488647461,0.9881666302680969,0.8819999694824219,0.9214999675750732,0.8949999809265137,0.8362036877208285
Cutout-14-3 BasicNet,0.46266666054725647,0.718999981880188,0.92166668176651,0.4483333230018616,0.8991666436195374,0.9806666374206543,0.6568333506584167,0.8868333101272583,0.8920000195503235,0.7630185120635562
Cutout-14-4 BasicNet,0.5326666831970215,0.8548333048820496,0.9108332991600037,0.559666633605957,0.906166672706604,0.9791666269302368,0.6981666684150696,0.909333348274231,0.8768333196640015,0.803074061870575
Cutout-14-5 BasicNet,0.21583333611488342,0.7698333263397217,0.9278333187103271,0.19766665995121002,0.9143333435058594,0.9746666550636292,0.6678333282470703,0.9006666541099548,0.8456666469573975,0.7127036965555615
FGSM-0.2 BasicNet,0.8305000066757202,0.8600000143051147,0.9505000114440918,0.7413333058357239,0.9634999632835388,0.9943333268165588,0.9276666641235352,0.9723333120346069,0.9179999828338623,0.9064629541503059
FGSM-0.3 BasicNet,0.7101666331291199,0.843833327293396,0.8928333520889282,0.5816666483879089,0.9434999823570251,0.987666666507721,0.7369999885559082,0.9409999847412109,0.9146666526794434,0.839148137304518
FGSM-0.3-Cutout-7-1 BasicNet,0.7548333406448364,0.887833297252655,0.8846666812896729,0.6636666655540466,0.9481666684150696,0.9894999861717224,0.6613333225250244,0.9568333029747009,0.9194999933242798,0.8518148064613342
FGSM-0.3-Cutout-7-2 BasicNet,0.5113333463668823,0.8090000152587891,0.890666663646698,0.4129999876022339,0.9098333120346069,0.984499990940094,0.6398333311080933,0.953166663646698,0.8988333344459534,0.778907405005561
FGSM-0.3-Cutout-10-1 BasicNet,0.5170000195503235,0.862666666507721,0.9586666822433472,0.33133333921432495,0.9643332958221436,0.9898332953453064,0.9728333353996277,0.9605000019073486,0.9046666622161865,0.8290925886895921
FGSM-0.3-Cutout-10-2 BasicNet,0.3216666579246521,0.8784999847412109,0.8548333048820496,0.4189999997615814,0.9455000162124634,0.9864999651908875,0.672333300113678,0.950333297252655,0.8889999985694885,0.7686296138498518
