,0.2,0.3,0.4,0.5,Avg
L_inf-PGD-0.4-50 BasicNet,0.96916663646698,0.9606666564941406,0.949833333492279,0.9168333411216736,0.9491249918937683
Mixup-0.5 BasicNet,0.6323333382606506,0.4436666667461395,0.3218333423137665,0.24916666746139526,0.411750003695488
FGSM-0.4 BasicNet,0.9710000157356262,0.9571666717529297,0.9399999976158142,0.9206666350364685,0.9472083300352097
FGSM-0.5 BasicNet,0.9798333048820496,0.9739999771118164,0.9653333425521851,0.9546666741371155,0.9684583246707916
L_inf PGD-0.340-Mixup-0.25 BasicNet,0.9706666469573975,0.9613333344459534,0.9476666450500488,0.9315000176429749,0.9527916610240936
L_inf PGD-0.340-Mixup-1 BasicNet,0.9513333439826965,0.9321666359901428,0.9049999713897705,0.8698333501815796,0.9145833253860474
L_inf PGD-0.340-Mixup-4 BasicNet,0.953166663646698,0.9338333010673523,0.9096666574478149,0.8778333067893982,0.9186249822378159
L_inf-PGD-0.2-30 BasicNet,0.9666666388511658,0.9434999823570251,0.906499981880188,0.8653333187103271,0.9204999804496765
L_inf-PGD-0.2-40 BasicNet,0.9716666340827942,0.950333297252655,0.9210000038146973,0.8816666603088379,0.9311666488647461
L_inf-PGD-0.2-50 BasicNet,0.9749999642372131,0.9578333497047424,0.9311666488647461,0.8948333263397217,0.9397083222866058
L_inf-PGD-0.3-30 BasicNet,0.9701666831970215,0.9583333134651184,0.9396666288375854,0.9083333015441895,0.9441249817609787
L_inf-PGD-0.3-40 BasicNet,0.9785000085830688,0.9663333296775818,0.9513333439826965,0.9236666560173035,0.9549583345651627
FGSM-0.3-Mixup-0.25 BasicNet,0.968666672706604,0.9508333206176758,0.9293333292007446,0.8981666564941406,0.9367499947547913
FGSM-0.3-Mixup-1 BasicNet,0.9629999995231628,0.9465000033378601,0.922166645526886,0.8945000171661377,0.9315416663885117
FGSM-0.3-Mixup-4 BasicNet,0.9459999799728394,0.9236666560173035,0.8955000042915344,0.8544999957084656,0.9049166589975357
LargeNet,0.8708333373069763,0.778166651725769,0.6865000128746033,0.5996666550636292,0.7337916642427444
Ensemble-3 BasicNet,0.8941666483879089,0.7561666369438171,0.5755000114440918,0.41099998354911804,0.659208320081234
Ensemble-5 BasicNet,0.918666660785675,0.8063333034515381,0.6503333449363708,0.4934999942779541,0.7172083258628845
Ensemble-10 BasicNet,0.9306666851043701,0.8263333439826965,0.656166672706604,0.47850000858306885,0.7229166775941849
Ensemble-15 BasicNet,0.9328333139419556,0.8244999647140503,0.6551666855812073,0.468833327293396,0.7203333228826523
