,0.2,0.3,0.4,0.5,Avg
L_inf-PGD-0.2-30 BasicNet,0.9603333473205566,0.9268333315849304,0.872166633605957,0.872166633605957,0.9078749865293503
L_inf-PGD-0.2-40 BasicNet,0.965833306312561,0.9298333525657654,0.8788333535194397,0.8788333535194397,0.9133333414793015
L_inf-PGD-0.2-50 BasicNet,0.9721666574478149,0.9448333382606506,0.8970000147819519,0.8970000147819519,0.9277500063180923
L_inf-PGD-0.3-30 BasicNet,0.9666666388511658,0.9511666297912598,0.9144999980926514,0.9144999980926514,0.9367083162069321
L_inf-PGD-0.3-40 BasicNet,0.9760000109672546,0.9586666822433472,0.9241666793823242,0.9241666793823242,0.9457500129938126
FGSM-0.3-Mixup-0.25 BasicNet,0.9350000023841858,0.8761666417121887,0.7928333282470703,0.7926666736602783,0.8491666615009308
FGSM-0.3-Mixup-1 BasicNet,0.6988333463668823,0.518666684627533,0.41066667437553406,0.4104999899864197,0.5096666738390923
FGSM-0.3-Mixup-4 BasicNet,0.9053333401679993,0.8098333477973938,0.7011666297912598,0.7011666297912598,0.7793749868869781
LargeNet,0.5203333497047424,0.2329999953508377,0.13833333551883698,0.13850000500679016,0.2575416713953018
Ensemble-3 BasicNet,0.7770000100135803,0.4673333168029785,0.26883333921432495,0.26883333921432495,0.4455000013113022
Ensemble-5 BasicNet,0.8461666703224182,0.6076666712760925,0.3686666488647461,0.3686666488647461,0.5477916598320007
Ensemble-10 BasicNet,0.8863333463668823,0.6681666374206543,0.41499999165534973,0.41499999165534973,0.596124991774559
Ensemble-15 BasicNet,0.8930000066757202,0.6858333349227905,0.4235000014305115,0.4235000014305115,0.6064583361148834
